dataset_id,dataset_family,noise_model,seed,m,n,m_over_n,density,condition_proxy,column_norm_ratio,numerical_rank,full_column_rank,effective_kappa,method,final_be,pass_fail,iters_to_stable
illc1033,suitesparse,a_and_b,32439,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,294.0445046459706,iter_sketch_mom,3.811682708571947e-15,0,
illc1033,suitesparse,a_and_b,32439,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,294.0445046459706,sketch_pre_cold,7.360208562896296e-10,0,
illc1033,suitesparse,a_and_b,32439,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,294.0445046459706,sketch_pre_warm,3.264998739786901e-12,0,
illc1033,suitesparse,a_and_b,32439,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,294.0445046459706,fossils,5.116271026486252e-14,0,
illc1033,suitesparse,a_and_b,32439,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,294.0445046459706,spir,1.6808068679660322e-17,1,
illc1033,suitesparse,a_and_b,32439,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,294.0445046459706,qr_ref,1.3213742265971782e-16,1,0
illc1033,suitesparse,a_and_b,10001,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,296.25139702752637,sketch_solve,0.00018334812610766615,0,
illc1033,suitesparse,a_and_b,10001,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,296.25139702752637,iter_sketch_mom,2.5822877825595535e-15,0,
illc1033,suitesparse,a_and_b,10001,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,296.25139702752637,sketch_pre_cold,9.267802024808702e-10,0,
illc1033,suitesparse,a_and_b,10001,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,296.25139702752637,sketch_pre_warm,2.4506173529406913e-12,0,
illc1033,suitesparse,a_and_b,10001,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,296.25139702752637,fossils,1.5793659801173782e-16,1,
illc1033,suitesparse,a_and_b,10001,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,296.25139702752637,spir,1.5470372598988426e-17,1,
